CO_MUNICIPIO,NOME,UF
110001,ALTA FLORESTA D'OESTE,RO
110002,ARIQUEMES,RO
110003,CABIXI,RO
110004,CACOAL,RO
110005,CEREJEIRAS,RO
110006,COLORADO DO OESTE,RO
110007,CORUMBIARA,RO
110008,COSTA MARQUES,RO
110009,ESPIGAO D'OESTE,RO
110010,GUAJARA-MIRIM,RO
110011,JARU,RO
110012,JI-PARANA,RO
110013,MACHADINHO D'OESTE,RO
110014,NOVA BRASILANDIA D'OESTE,RO
110015,OURO PRETO DO OESTE,RO
110018,PIMENTA BUENO,RO
110020,PORTO VELHO,RO
110025,PRESIDENTE MEDICI,RO
110026,RIO CRESPO,RO
110028,ROLIM DE MOURA,RO
110029,SANTA LUZIA D'OESTE,RO
110030,VILHENA,RO
110032,SAO MIGUEL DO GUAPORE,RO
110033,NOVA MAMORE,RO
110034,ALVORADA D'OESTE,RO
110037,ALTO ALEGRE DOS PARECIS,RO
110040,ALTO PARAISO,RO
110045,BURITIS,RO
110050,NOVO HORIZONTE DO OESTE,RO
110060,CACAULANDIA,RO
110070,CAMPO NOVO DE RONDONIA,RO
110080,CANDEIAS DO JAMARI,RO
110090,CASTANHEIRAS,RO
110092,CHUPINGUAIA,RO
110094,CUJUBIM,RO
110100,GOVERNADOR JORGE TEIXEIRA,RO
110110,ITAPUA DO OESTE,RO
110120,MINISTRO ANDREAZZA,RO
110130,MIRANTE DA SERRA,RO
110140,MONTE NEGRO,RO
110143,NOVA UNIAO,RO
110145,PARECIS,RO
110146,PIMENTEIRAS DO OESTE,RO
110147,PRIMAVERA DE RONDONIA,RO
110148,SAO FELIPE D'OESTE,RO
110149,SAO FRANCISCO DO GUAPORE,RO
110150,SERINGUEIRAS,RO
110155,TEIXEIROPOLIS,RO
110160,THEOBROMA,RO
110170,URUPA,RO
110175,VALE DO ANARI,RO
110180,VALE DO PARAISO,RO
120001,ACRELANDIA,AC
120005,ASSIS BRASIL,AC
120010,BRASILEIA,AC
120013,BUJARI,AC
120017,CAPIXABA,AC
120020,CRUZEIRO DO SUL,AC
120025,EPITACIOLANDIA,AC
120030,FEIJO,AC
120032,JORDAO,AC
120033,MANCIO LIMA,AC
120034,MANOEL URBANO,AC
120035,MARECHAL THAUMATURGO,AC
120038,PLACIDO DE CASTRO,AC
120039,PORTO WALTER,AC
120040,RIO BRANCO,AC
120042,RODRIGUES ALVES,AC
120043,SANTA ROSA DO PURUS,AC
120045,SENADOR GUIOMARD,AC
120050,SENA MADUREIRA,AC
120060,TARAUACA,AC
120070,XAPURI,AC
120080,PORTO ACRE,AC
130002,ALVARAES,AM
130006,AMATURA,AM
130008,ANAMA,AM
130010,ANORI,AM
130014,APUI,AM
130020,ATALAIA DO NORTE,AM
130030,AUTAZES,AM
130040,BARCELOS,AM
130050,BARREIRINHA,AM
130060,BENJAMIN CONSTANT,AM
130063,BERURI,AM
130068,BOA VISTA DO RAMOS,AM
130070,BOCA DO ACRE,AM
130080,BORBA,AM
130083,CAAPIRANGA,AM
130090,CANUTAMA,AM
130100,CARAUARI,AM
130110,CAREIRO,AM
130115,CAREIRO DA VARZEA,AM
130120,COARI,AM
130130,CODAJAS,AM
130140,EIRUNEPE,AM
130150,ENVIRA,AM
130160,FONTE BOA,AM
130165,GUAJARA,AM
130170,HUMAITA,AM
130180,IPIXUNA,AM
130185,IRANDUBA,AM
130190,ITACOATIARA,AM
130195,ITAMARATI,AM
130200,ITAPIRANGA,AM
130210,JAPURA,AM
130220,JURUA,AM
130230,JUTAI,AM
130240,LABREA,AM
130250,MANACAPURU,AM
130255,MANAQUIRI,AM
130260,MANAUS,AM
130270,MANICORE,AM
130280,MARAA,AM
130290,MAUES,AM
130300,NHAMUNDA,AM
130310,NOVA OLINDA DO NORTE,AM
130320,NOVO AIRAO,AM
130330,NOVO ARIPUANA,AM
130340,PARINTINS,AM
130350,PAUINI,AM
130353,PRESIDENTE FIGUEIREDO,AM
130356,RIO PRETO DA EVA,AM
130360,SANTA ISABEL DO RIO NEGRO,AM
130370,SANTO ANTONIO DO ICA,AM
130380,SAO GABRIEL DA CACHOEIRA,AM
130390,SAO PAULO DE OLIVENCA,AM
130395,SAO SEBASTIAO DO UATUMA,AM
130400,SILVES,AM
130406,TABATINGA,AM
130410,TAPAUA,AM
130420,TEFE,AM
130423,TONANTINS,AM
130426,UARINI,AM
130430,URUCARA,AM
130440,URUCURITUBA,AM
140002,AMAJARI,RR
140005,ALTO ALEGRE,RR
140010,BOA VISTA,RR
140015,BONFIM,RR
140017,CANTA,RR
140020,CARACARAI,RR
140023,CAROEBE,RR
140028,IRACEMA,RR
140030,MUCAJAI,RR
140040,NORMANDIA,RR
140045,PACARAIMA,RR
140047,RORAINOPOLIS,RR
140050,SAO JOAO DA BALIZA,RR
140060,SAO LUIZ,RR
140070,UIRAMUTA,RR
150010,ABAETETUBA,PA
150013,ABEL FIGUEIREDO,PA
150020,ACARA,PA
150030,AFUA,PA
150034,AGUA AZUL DO NORTE,PA
150040,ALENQUER,PA
150050,ALMEIRIM,PA
150060,ALTAMIRA,PA
150070,ANAJAS,PA
150080,ANANINDEUA,PA
150085,ANAPU,PA
150090,AUGUSTO CORREA,PA
150095,AURORA DO PARA,PA
150100,AVEIRO,PA
150110,BAGRE,PA
150120,BAIAO,PA
150125,BANNACH,PA
150130,BARCARENA,PA
150140,BELEM,PA
150145,BELTERRA,PA
150150,BENEVIDES,PA
150157,BOM JESUS DO TOCANTINS,PA
150160,BONITO,PA
150170,BRAGANCA,PA
150172,BRASIL NOVO,PA
150175,BREJO GRANDE DO ARAGUAIA,PA
150178,BREU BRANCO,PA
150180,BREVES,PA
150190,BUJARU,PA
150195,CACHOEIRA DO PIRIA,PA
150200,CACHOEIRA DO ARARI,PA
150210,CAMETA,PA
150215,CANAA DOS CARAJAS,PA
150220,CAPANEMA,PA
150230,CAPITAO POCO,PA
150240,CASTANHAL,PA
150250,CHAVES,PA
150260,COLARES,PA
150270,CONCEICAO DO ARAGUAIA,PA
150275,CONCORDIA DO PARA,PA
150276,CUMARU DO NORTE,PA
150277,CURIONOPOLIS,PA
150280,CURRALINHO,PA
150285,CURUA,PA
150290,CURUCA,PA
150293,DOM ELISEU,PA
150295,ELDORADO DOS CARAJAS,PA
150300,FARO,PA
150304,FLORESTA DO ARAGUAIA,PA
150307,GARRAFAO DO NORTE,PA
150309,GOIANESIA DO PARA,PA
150310,GURUPA,PA
150320,IGARAPE-ACU,PA
150330,IGARAPE-MIRI,PA
150340,INHANGAPI,PA
150345,IPIXUNA DO PARA,PA
150350,IRITUIA,PA
150360,ITAITUBA,PA
150370,ITUPIRANGA,PA
150375,JACAREACANGA,PA
150380,JACUNDA,PA
150390,JURUTI,PA
150400,LIMOEIRO DO AJURU,PA
150405,MAE DO RIO,PA
150410,MAGALHAES BARATA,PA
150420,MARABA,PA
150430,MARACANA,PA
150440,MARAPANIM,PA
150442,MARITUBA,PA
150445,MEDICILANDIA,PA
150450,MELGACO,PA
